"Column1","Column2","Column3","Column4","Column5"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","804430","CAPA DO ROLAMENTO DOS MOTORES","2"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","804458","TRAVA DE APOIO DA BARREIRA CANCELA AGUSTA","2"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","804461","TAMPA CANCELA","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","804462","ACABAMENTO DO TUBO INOX PIVÔ/BARREIRA ARTICULADA","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","811081","MANUAL CANCELA AGUSTA LIGHT SPEED","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","811306","ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR","2"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","811753","CAIXA MASTER 11 - CAIXA PARA CANCELA SEM LOGO","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813094","ENGRENAGEM INTERNA DE 1 ENTRADA DZ E NEWBV","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813152","BASE DA CENTRAL DESLIZANTE INVERTER","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813167","FUSO P 7.5MM DE 0,50M E 4 ENTRADAS BV","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813234","CHAVETA 8MMX33,4MM","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813253","SEM FIM DE 1 ENTRADA AÇO","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813259","CARCAÇA INFERIOR NEW BV COM FURO ENCODER","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813265","CARCAÇA SUPERIOR NEW BV","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813266","TAMPA ENCODER","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813267","SUPORTE ENCODER","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813274","TAMPÃO P/ EIXO MOTOR DZ E GABINETE CANCELA","2"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813309","PINO DESTRAVAMENTO PIVO","2"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813315","PORCA DO FUSO 2 ENTRADAS PIVO (MACHO)","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813316","PORCA DO FUSO 2 ENTRADAS PIVO (FÊMEA)","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813317","MANCAL SUPERIOR DO PIVO","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813318","ARRUELA EM T","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813385","BATENTE MECÂNICO DO GABINETE CANCELA AGUSTA LIGHT- ZINCADO","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813387","ALAVANCA DE TRAÇÃO CANCELA AGUSTA LIGHT - ZINCADA","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813389","FLANGE DE TRAÇÃO DO EIXO CANCELA AGUSTA LIGHT - ZINCADA","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813467","SUPORTE ORELHA C/ FURO FECHADO CANCELA LIGHT/SOLAR","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813512","MANCAL DE JUNÇÃO DO SUPORTE DA BARREIRA (MACHO)","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813513","MANCAL DE JUNÇÃO DO SUPORTE DA BARREIRA (FÊMEA)","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","813514","OLHAL DE ENGATE DO ESTICADOR DA MOLA - ZINCADO - CANCELA LIGHT","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","911071","PLACA ACIONADORA REVISADA","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","911124","PLACA REVISADA NOVA CENTRAL INVERSORA","1"
"1015037","CANCELA AGUSTA LIGHT SPEED PRO APP - ATÉ 4,5M CINZA","916188","RECEPTOR PARA CONTROLE DE ACESSO INTELIGENTE - RECEIVER - MODELO: 433","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","100186","REED SWITCH 0.5A 140VAC 200VDC 10VA 0.55MS BOX (FLEX-14-10-15)","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","100802","TRANSMISSOR 433MHZ REMOTE - MODELO: AGL-E2  (DIGITAL KEY 6P20 BLACK)","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","101553","SENSOR EFEITO HALL AH3781-P-B 0,30W HALL LATCH SWITCH SIP-3 BULK (AH3781-P-B)","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","102815","FONTE DE ALIMENTAÇÃO 12V - 5A POWER SUPPLIER","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","103064","CONECTOR FÊMEA EC601V-5.08-3P GREEN BAG/BULK (EC601V-5.08-3P)","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","103130","CABO CONECTOR TERMINAL WHITE WIRE BLK-PH-3P L180 BOX (BLK-PH-3P L180)","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","103132","CONECTOR TERMINAR WHITE WIRE BLK-PH-3P L1000 BOX (BLK-PH-3P L1000)","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","103153","CABO CONECTOR TERMINAL WHITE WIRE BLK-4P 1050/650 BOX (BLK-4P 1050/650)","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","105070","FITA GOMADA APK 80 C/REFORCO IMP","0.128"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","201038","PERFIL AL SOL 7 STLF-0864 6063","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","208004","IMÃ DE FERRITE - B20X13X5MM","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401012","PARAFUSO 3.5 X 13 CH. PH - OXI","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401039","P. FRANCES C/ POR. 5/16-18 X 1 UNC FE.ZB","3"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401051","PARAFUSO PA ALLEN M6 x 20","4"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401069","PARAFUSO 2 9X13MM A/A PAN PHS ZI","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401077","PORCA F MET SEXTAVADA M10 (CH17) ZI","7"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401136","PARAFUSO PAN CRUZ 3,5MMX14MM (FABR. AGL) - ZINCADO","6"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401141","PARAFUSO AÇO MET CIL SX INT M6X30MM OX","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401141","PARAFUSO AÇO MET CIL SX INT M6X30MM OX","4"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401161","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 20MM T25","10"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401172","P ACO MET S/CAB SX INT PTA CONCOVA M8X20MM OX","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401173","REBITE C/ROSCA SEXT. M5 CAB. PLANA ZB","4"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401173","REBITE C/ROSCA SEXT. M5 CAB. PLANA ZB","10"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401182","PARAFUSO AÇO MET CIL SX INT M10X40MM OX","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401183","PORCA F MET SEXTAVADA M14 (CH22) ZI (ISC","4"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401190","PARAFUSO MET SX RI M10 X 100MM ZI","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401199","PORCA PARLOCK MA 6MM ZB","16"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401208","PA MQ PN HXL T25 TMA 5X12 RI ZB","7"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401208","PA MQ PN HXL T25 TMA 5X12 RI ZB","10"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401220","PA ALLEN C/C 912 M10 X 50","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401235","PARAF ALLEN C/CAB 912 M6 X 35 ZB","4"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401249","PORCA SEXTAVADA 5/16-18 X 1 UNC FE.ZB","4"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","401254","PARAFUSO PA ALLEN  M6 x 12","8"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","402012","ANEL ELÁSTICO E-20","3"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","402015","ANEL ELÁSTICO E12","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","402017","CP DE FERRO ZINCADO 3/16 X 1. 1/4","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","402019","PINO ELÁSTICO 4 X 24MM","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","402034","ANEL DE RETENÇÃO ORING INTERNO 14MM X 2,6MM","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","402039","ESTICADOR OLHAL COM GANCHO 8MM 5/16"" GALVANIZADO","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","402040","MANCAL OVAL UCFL205-16 ROL UC205-16 PARA EIXO 25,4","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","402042","CHUMBADOR PBJ PARABOLT MQ UNC 3/8X3 ZI","4"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","411015","ROLAMENTOS 6004 ZZ","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","411017","ROLAMENTOS 6201-08 ZZ C3","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","411039","TARUGO PE CINZA 10 mm","0.5"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","411048","TUBO 304 A554 C/C 25,40 X 1,20MM POLIDO","0.46"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","412163","ROTOR AGL NEW BV P39","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","412381","ESTATOR BOBINADO AGL NEW BV P39 04 42Z 220V 60HZ (CANCELA LIGHT)","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","603518","ACESSORIOS PARA AUTOMATIZADOR BRUSHLESS DC MOTOR - MOLA DE CONTRA-PESO PARA CANCELA 1.2","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","701155","EIXO PRINCIPAL DO NEW BV - BRUTO","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","801242","SUPORTE DAS FONTES CANCELA AGUSTA - CINZA","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","801243","PORTA DO GABINETE CANCELA - CINZA","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","801249","BASE SUPERIOR DE FIXAÇÃO DA CENTRAL NO GABINETE - CINZA","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","801251","GABINETE DA CANCELA AGUSTA LIGHT- CINZA","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","801265","CHAPA EM U DO SUPORTE DA BARREIRA (MODELO FIX. MACHO E FÊMEA) - CINZA","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","802036","PARTE DE FECHADURAS - CILINDRO COM CHAVE PARA MOTOR - CYLINDER","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","804107","BASE DO MODULO DA TRAVA","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","804118","BORRACHA PASSANTE","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","804247","BASE DA CENTRAL DESLIZANTE","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","804248","TAMPA DA CENTRAL DESLIZANTE","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","804430","CAPA DO ROLAMENTO DOS MOTORES","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","804458","TRAVA DE APOIO DA BARREIRA CANCELA AGUSTA","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","804461","TAMPA CANCELA","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","804462","ACABAMENTO DO TUBO INOX PIVÔ/BARREIRA ARTICULADA","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","811081","MANUAL CANCELA AGUSTA LIGHT SPEED","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","811306","ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","811753","CAIXA MASTER 11 - CAIXA PARA CANCELA SEM LOGO","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813094","ENGRENAGEM INTERNA DE 1 ENTRADA DZ E NEWBV","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813167","FUSO P 7.5MM DE 0,50M E 4 ENTRADAS BV","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813234","CHAVETA 8MMX33,4MM","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813253","SEM FIM DE 1 ENTRADA AÇO","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813259","CARCAÇA INFERIOR NEW BV COM FURO ENCODER","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813265","CARCAÇA SUPERIOR NEW BV","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813266","TAMPA ENCODER","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813267","SUPORTE ENCODER","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813274","TAMPÃO P/ EIXO MOTOR DZ E GABINETE CANCELA","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813309","PINO DESTRAVAMENTO PIVO","2"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813315","PORCA DO FUSO 2 ENTRADAS PIVO (MACHO)","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813316","PORCA DO FUSO 2 ENTRADAS PIVO (FÊMEA)","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813317","MANCAL SUPERIOR DO PIVO","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813318","ARRUELA EM T","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813385","BATENTE MECÂNICO DO GABINETE CANCELA AGUSTA LIGHT- ZINCADO","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813387","ALAVANCA DE TRAÇÃO CANCELA AGUSTA LIGHT - ZINCADA","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813389","FLANGE DE TRAÇÃO DO EIXO CANCELA AGUSTA LIGHT - ZINCADA","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813467","SUPORTE ORELHA C/ FURO FECHADO CANCELA LIGHT/SOLAR","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813512","MANCAL DE JUNÇÃO DO SUPORTE DA BARREIRA (MACHO)","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813513","MANCAL DE JUNÇÃO DO SUPORTE DA BARREIRA (FÊMEA)","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","813514","OLHAL DE ENGATE DO ESTICADOR DA MOLA - ZINCADO - CANCELA LIGHT","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","911071","PLACA ACIONADORA REVISADA","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","911080","PLACA REVISADA CENTRAL FLEX","1"
"1015038","CANCELA AGUSTA LIGHT PRO APP - ATÉ 4,5M CINZA","916188","RECEPTOR PARA CONTROLE DE ACESSO INTELIGENTE - RECEIVER - MODELO: 433","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","100802","TRANSMISSOR 433MHZ REMOTE - MODELO: AGL-E2  (DIGITAL KEY 6P20 BLACK)","2"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","102560","CONECTOR ELÉTRICO DE TORÇÃO MODELO P-1","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","102815","FONTE DE ALIMENTAÇÃO 12V - 5A POWER SUPPLIER","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","103795","FIO PARALELO 1,5MM N14BC MEGA 100M","2.4"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","105070","FITA GOMADA APK 80 C/REFORCO IMP","0.128"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","201125","GRAMPO 35/18 UNIDADE","20"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401051","PARAFUSO PA ALLEN M6 x 20","4"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401109","PF A/A PAN PHS 3,9 X 13MM ZI","10"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401141","PARAFUSO AÇO MET CIL SX INT M6X30MM OX","4"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401172","P ACO MET S/CAB SX INT PTA CONCOVA M8X20MM OX","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401173","REBITE C/ROSCA SEXT. M5 CAB. PLANA ZB","10"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401182","PARAFUSO AÇO MET CIL SX INT M10X40MM OX","6"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401183","PORCA F MET SEXTAVADA M14 (CH22) ZI (ISC","4"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401190","PARAFUSO MET SX RI M10 X 100MM ZI","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401199","PORCA PARLOCK MA 6MM ZB","16"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401207","PF A/A JMC DRILL FL PHS C/ SERRILHA PTA BROCA 4,2X13MM ZI","2"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401208","PA MQ PN HXL T25 TMA 5X12 RI ZB","10"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401218","ABRAC UV PRETA 400X4,8 - 100 PCS","3"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401235","PARAF ALLEN C/CAB 912 M6 X 35 ZB","4"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","401254","PARAFUSO PA ALLEN  M6 x 12","8"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","402017","CP DE FERRO ZINCADO 3/16 X 1. 1/4","2"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","402042","CHUMBADOR PBJ PARABOLT MQ UNC 3/8X3 ZI","4"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","603515","ACESSORIOS PARA AUTOMATIZADOR BRUSHLESS DC MOTOR - PAINEL CONTROLADOR","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","603516","ACESSORIOS PARA AUTOMATIZADOR BRUSHLESS DC MOTOR - FONTE DE ALIMENTAÇAO 24V / 10A","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","603517","ACESSORIOS PARA AUTOMATIZADOR BRUSHLESS DC MOTOR - RECEPTOR PARA CENTRAL BRUSHLESS","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","603519","ACESSORIOS PARA AUTOMATIZADOR BRUSHLESS DC MOTOR - MOLA DE CONTRA-PESO PARA CANCELA 2.5","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","801219","GABINETE DA CANCELA - CINZA","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","801242","SUPORTE DAS FONTES CANCELA AGUSTA - CINZA","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","801243","PORTA DO GABINETE CANCELA - CINZA","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","801265","CHAPA EM U DO SUPORTE DA BARREIRA (MODELO FIX. MACHO E FÊMEA) - CINZA","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","802036","PARTE DE FECHADURAS - CILINDRO COM CHAVE PARA MOTOR - CYLINDER","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","804118","BORRACHA PASSANTE","2"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","804458","TRAVA DE APOIO DA BARREIRA CANCELA AGUSTA","2"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","804461","TAMPA CANCELA","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","811043","MANUAL CANCELA BILINGUE SEM LOGO","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","811276","ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","811306","ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR","2"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","811505","SACO PLASTICO TRANSPARENTE 14CM X 9CM","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","811541","SACO PLASTICO TRANSPARENTE 30CM X 15CM","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","811742","CAIXA MASTER 11 - CAIXA PARA CANCELA COM LOGO AGL","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","813274","TAMPÃO P/ EIXO MOTOR DZ E GABINETE CANCELA","2"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","813440","BRAÇO ESTICADOR DA MOLA DA CANCELA","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","813511","PINO DESTRAVAMENTO LINHA BV/ PORTA CADEADO HZ/ ESTICAD. CANCELA","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","813512","MANCAL DE JUNÇÃO DO SUPORTE DA BARREIRA (MACHO)","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","813513","MANCAL DE JUNÇÃO DO SUPORTE DA BARREIRA (FÊMEA)","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","916127","AUTOMATIZADOR PARA CANCELA - BRUSHLESS DC MOTOR - MODELO: 18B-2.5S","1"
"1015039","CANCELA AGUSTA LIGHT PRO APP 2,5S - 4,5M A 6M CINZA","916188","RECEPTOR PARA CONTROLE DE ACESSO INTELIGENTE - RECEIVER - MODELO: 433","1"
"1015647","OLHAL DE ENGATE DO ESTICADOR DA MOLA - CANCELA","813514","OLHAL DE ENGATE DO ESTICADOR DA MOLA - ZINCADO - CANCELA LIGHT","1"
